Year,"Division/
Section",Description,"Number:
£0-
£50,000","Number:
£50,001-£100,000","Number:
£100,001-£200,000","Number:
£200,001-£1,000,000","Number:
£1,000,001-£5,000,000","Number:
£5,000,001+"
2021,10,Manufacture of Food Products,120,95,140,195,125,130
2021,11,Manufacture of Beverages,110,60,50,80,30,45
2021,12,Manufacture of Tobacco Products,-,-,-,-,-,-
2021,13,Manufacture of Textiles,50,55,65,80,30,20
2021,14,Manufacture of Wearing Apparel,45,50,35,45,15,5
2021,15,Manufacture of Leather and Related Products,10,5,0,5,5,0
2021,16,Manufacture of Wood and of Products of Wood and Cork,85,335,350,200,80,35
2021,17,Manufacture of Paper and Paper Products,5,10,5,20,15,25
2021,18,Printing and Reproduction of Recorded Media,95,100,115,120,45,15
2021,19,Manufacture of Coke and Refined Petroleum,-,-,-,-,0,10
2021,20,Manufacture of Chemicals and Chemical Products,40,25,35,45,35,40
2021,21,Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations,5,5,5,5,5,15
2021,22,Manufacture of Rubber and Plastic Products,20,30,15,80,60,35
2021,23,Manufacture of Other Non-Metallic Mineral Products,20,40,35,70,40,30
2021,24,Manufacture of Basic Metals,10,20,15,20,20,20
2021,25,Manufacture of Fabricated and Metal Products,180,715,350,400,240,95
2021,26,"Manufacture of Computer, Electronic and Optical Products",55,55,45,85,60,45
2021,27,Manufacture of Electrical Equipment,15,20,15,40,35,20
2021,28,Manufacture of Machinery and Equipment Not Elsewhere Classified,55,75,75,140,80,60
2021,29,"Manufacture of Motor Vehicles, Trailers and Semi-Trailers",20,40,30,25,20,10
2021,30,Manufacture of Other Transport Equipment,25,65,40,30,15,15
2021,31,Manufacture of Furniture,30,45,75,85,25,5
2021,32,Other Manufacturing,105,145,130,190,40,15
2021,33,Repair and Installation of Machinery and Equipment,175,450,245,240,100,60
