Year,"Division/
Section",Description,Number: 0 employee,Number: 1-4 employees,Number: 5-9 employees,Number: 10-19 employees,Number: 20-49 employees,Number: 50-99 employees,Number: 100-199 employees,Number: 200-249 employees,Number: 250-499 employees,Number: 500+ employees,
2021,10,Manufacture of Food Products,165,200,125,100,95,50,30,10,20,10,
2021,11,Manufacture of Beverages,135,125,40,20,30,5,5,5,5,5,
2021,12,Manufacture of Tobacco Products,-,-,-,-,-,-,-,-,-,-,
2021,13,Manufacture of Textiles,90,95,50,25,20,15,5,-,0,0,
2021,14,Manufacture of Wearing Apparel,60,80,25,10,10,5,5,-,0,-,
2021,15,Manufacture of Leather and Related Products,10,5,0,5,0,0,-,-,-,0,
2021,16,Manufacture of Wood and of Products of Wood and Cork,385,480,95,55,40,15,5,-,5,-,
2021,17,Manufacture of Paper and Paper Products,10,20,10,15,10,10,5,0,5,-,
2021,18,Printing and Reproduction of Recorded Media,145,195,70,45,20,5,5,-,-,-,
2021,19,Manufacture of Coke and Refined Petroleum,-,-,0,0,0,-,-,0,0,0,
2021,20,Manufacture of Chemicals and Chemical Products,70,55,35,20,20,15,10,5,0,0,
2021,21,Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations,10,10,5,5,5,5,5,-,5,0,
2021,22,Manufacture of Rubber and Plastic Products,35,55,55,35,35,20,5,5,5,0,
2021,23,Manufacture of Other Non-Metallic Mineral Products,45,80,45,20,25,15,5,0,-,0,
2021,24,Manufacture of Basic Metals,30,25,10,10,15,5,5,-,0,-,
2021,25,Manufacture of Fabricated and Metal Products,905,495,210,180,115,50,20,5,5,0,
2021,26,"Manufacture of Computer, Electronic and Optical Products",80,110,55,30,30,25,10,-,0,5,
2021,27,Manufacture of Electrical Equipment,30,40,25,20,20,10,5,0,0,0,
2021,28,Manufacture of Machinery and Equipment Not Elsewhere Classified,130,165,65,40,45,20,15,5,5,5,
2021,29,"Manufacture of Motor Vehicles, Trailers and Semi-Trailers",55,45,5,10,5,10,0,-,0,0,
2021,30,Manufacture of Other Transport Equipment,90,45,20,5,5,5,-,0,5,5,
2021,31,Manufacture of Furniture,65,110,45,25,10,0,5,-,0,-,
2021,32,Other Manufacturing,250,220,85,30,25,10,5,0,0,0,
2021,33,Repair and Installation of Machinery and Equipment,665,350,110,65,35,15,10,5,5,5,
